"","�..Tipo","Bairro","Quartos","Vagas","Suites","Area","Valor","Condominio","IPTU"
"91","Apartamento","Barra da Tijuca",3,2,1,104,2600,1364,406
"92","Apartamento","Vila Valqueire",2,1,0,45,800,280,14
"93","Apartamento","Gávea",2,1,0,70,2800,680,98
"94","Apartamento","Barra da Tijuca",2,1,1,88,2700,1300,2042
"95","Apartamento","Centro",1,1,0,37,1100,540,900
"96","Apartamento","Cosme Velho",3,4,0,130,5500,1407,246
"97","Apartamento","Bonsucesso",2,1,0,77,1500,740,NA
"98","Apartamento","Barra da Tijuca",3,2,2,85,2500,1400,190
"99","Apartamento","Todos os Santos",3,1,1,78,1450,630,73
"100","Apartamento","Laranjeiras",2,1,0,54,2300,582,NA
"101","Quitinete","Centro",0,0,0,30,800,505,NA
"102","Apartamento","Jacarepaguá",2,1,1,69,2000,780,NA
"103","Apartamento","Ipanema",3,1,1,120,7000,1800,370
"104","Loja/Salão","Barra da Tijuca",0,0,0,36,5300,2114,839
"105","Apartamento","Barra da Tijuca",2,1,1,78,2750,1300,138
"106","Conjunto Comercial/Sala","Centro",0,0,0,95,3800,1688,392
"107","Apartamento","Itanhangá",2,1,0,60,1000,450,150
"108","Apartamento","Recreio dos Bandeirantes",2,1,1,90,2400,1700,135
"109","Conjunto Comercial/Sala","Centro",0,0,0,310,17050,5950,1917
"110","Apartamento","Humaitá",2,1,0,86,4000,1259,188
"111","Quitinete","Flamengo",0,0,0,28,1000,581,53
"112","Apartamento","Barra da Tijuca",1,1,1,70,1700,870,143
"113","Conjunto Comercial/Sala","Barra da Tijuca",0,4,0,145,9000,6400,NA
"114","Apartamento","Praça Seca",2,0,0,80,1000,NA,NA
"115","Apartamento","Tijuca",2,1,0,80,1800,1100,84
"116","Conjunto Comercial/Sala","Barra da Tijuca",0,2,0,142,4000,5024,12415
"117","Conjunto Comercial/Sala","Botafogo",0,3,0,241,22000,9384,NA
"118","Casa de Vila","Piedade",2,1,0,70,1300,NA,NA
"119","Apartamento","Tijuca",3,1,0,172,2700,780,170
"120","Apartamento","Freguesia (Jacarepaguá)",4,3,2,261,2800,2535,3900
"121","Galpão/Depósito/Armazém","Bonsucesso",0,10,0,13010,100000,NA,12000
"122","Apartamento","Ipanema",3,1,1,145,8000,14768,4394
"123","Apartamento","Olaria",2,1,0,53,1100,160,NA
"124","Quitinete","Copacabana",1,0,0,29,1200,460,NA
"125","Apartamento","Botafogo",2,1,1,83,2800,560,138
"126","Apartamento","Botafogo",2,1,1,80,4300,1178,187
"127","Apartamento","Lagoa",3,1,2,250,13900,2500,NA
"128","Conjunto Comercial/Sala","Centro",0,0,0,40,1500,637,84
"129","Conjunto Comercial/Sala","Centro",0,0,0,48,1400,729,157
"130","Conjunto Comercial/Sala","Santo Cristo",0,64,0,4800,312000,92000,NA
"131","Conjunto Comercial/Sala","Largo do Machado",0,0,0,30,800,592,162
"132","Apartamento","Leblon",3,2,1,147,7500,1028,247
"133","Apartamento","Copacabana",2,1,0,67,3500,950,160
"134","Apartamento","Ipanema",3,1,1,150,25000,1616,4255
"135","Apartamento","Barra da Tijuca",4,3,2,220,7500,3911,716
"136","Apartamento","Catete",2,0,0,77,2400,1130,140
