"","�..Tipo","Bairro","Quartos","Vagas","Suites","Area","Valor","Condominio","IPTU"
"4487","Apartamento","Copacabana",3,1,0,200,8500,1850,NA
"4488","Apartamento","Freguesia (Jacarepaguá)",2,1,1,80,1300,846,NA
"4489","Conjunto Comercial/Sala","Ipanema",0,1,0,113,12000,4400,730
"4490","Casa de Condomínio","Barra da Tijuca",4,2,2,600,30000,1100,1399
"4491","Apartamento","Campo Grande",2,1,1,60,800,180,NA
"4492","Casa Comercial","Laranjeiras",0,0,0,215,7900,NA,310
"4493","Conjunto Comercial/Sala","Barra da Tijuca",0,1,0,30,1000,950,NA
"4494","Conjunto Comercial/Sala","Centro",0,0,0,66,2500,2400,335
"4495","Apartamento","São Conrado",3,0,3,200,8000,2600,1000
"4496","Apartamento","Ipanema",2,2,1,85,5500,2600,350
"4497","Apartamento","Barra da Tijuca",3,2,2,130,5700,800,450
"4498","Conjunto Comercial/Sala","Ipanema",0,4,0,210,25200,8085,NA
"4499","Apartamento","Laranjeiras",1,1,0,40,2000,903,80
"4500","Casa de Condomínio","Barra da Tijuca",4,3,4,350,7000,934,890
"4501","Apartamento","Barra da Tijuca",4,2,2,400,12000,2608,584
"4502","Loja/Salão","Santo Cristo",0,0,0,140,2500,NA,195
"4503","Casa","Vila da Penha",5,0,2,270,3000,NA,NA
"4504","Apartamento","Vila da Penha",2,0,0,52,1200,250,NA
"4505","Apartamento","Ipanema",2,0,0,90,3000,1100,210
"4506","Apartamento","Bento Ribeiro",2,0,0,50,930,140,NA
"4507","Apartamento","Gávea",3,1,1,100,5000,1100,170
"4508","Apartamento","Barra da Tijuca",2,1,1,90,2000,1300,283
"4509","Apartamento","Engenho de Dentro",2,1,0,50,1100,240,13
"4510","Apartamento","Flamengo",2,1,1,99,3500,745,215
"4511","Apartamento","Vila Isabel",1,0,0,40,1300,307,24
"4512","Apartamento","Ipanema",1,0,0,25,1700,614,29
"4513","Loja/Salão","Quintino Bocaiúva",0,0,0,138,2000,NA,162
"4514","Conjunto Comercial/Sala","Centro",0,0,0,70,2000,1086,156
"4515","Apartamento","Copacabana",1,0,1,37,2500,447,20
"4516","Apartamento","Madureira",2,1,0,60,1000,NA,NA
"4517","Conjunto Comercial/Sala","Tijuca",0,0,0,30,800,124,84
"4518","Casa de Condomínio","Copacabana",3,1,2,130,8000,NA,80
"4519","Apartamento","Recreio dos Bandeirantes",2,1,1,87,1200,1032,NA
"4520","Casa","Campo Grande",3,1,1,100,1800,NA,NA
"4521","Apartamento","Recreio dos Bandeirantes",2,1,1,66,1800,750,NA
"4522","Conjunto Comercial/Sala","Barra da Tijuca",0,1,0,40,3500,1040,315
"4523","Apartamento","Copacabana",1,0,0,40,1800,450,227
"4524","Conjunto Comercial/Sala","Recreio dos Bandeirantes",0,1,0,459,3800,2300,NA
"4525","Apartamento","Freguesia (Jacarepaguá)",1,1,0,49,1100,590,36
"4526","Conjunto Comercial/Sala","Centro",0,0,0,220,9400,5700,251
"4527","Apartamento","Todos os Santos",2,1,0,55,1100,260,NA
"4528","Quitinete","Lapa",1,0,0,19,1100,256,NA
"4529","Apartamento","Barra da Tijuca",2,2,1,110,5000,1969,489
"4530","Conjunto Comercial/Sala","Barra da Tijuca",0,2,0,60,2000,2138,328
"4531","Apartamento","Gávea",1,1,0,50,2600,726,152
"4532","Apartamento","Leblon",2,1,0,123,4300,600,444
"4533","Apartamento","Copacabana",3,1,1,200,3500,1720,NA
"4534","Conjunto Comercial/Sala","Barra da Tijuca",0,0,0,347,10000,9000,NA
"4535","Apartamento","Centro",2,0,0,70,1500,530,60
"4536","Apartamento","Tijuca",2,1,0,56,1700,810,NA
"4537","Apartamento","Copacabana",5,1,2,340,18000,2100,900
"4538","Galpão/Depósito/Armazém","Engenho de Dentro",0,4,0,344,4000,NA,749
"4539","Casa de Condomínio","Vargem Grande",3,2,3,350,8000,1300,NA
"4540","Apartamento","Flamengo",1,0,1,45,1500,520,56
"4541","Conjunto Comercial/Sala","Barra da Tijuca",0,1,0,30,700,730,NA
"4542","Apartamento","Inhaúma",2,2,0,70,1800,NA,NA
"4543","Casa de Condomínio","Freguesia (Jacarepaguá)",3,2,1,225,4500,465,1311
"4544","Casa de Vila","Pilares",1,0,0,22,450,131,17
"4545","Apartamento","Ipanema",4,3,3,224,13000,3466,1285
"4546","Casa de Condomínio","Botafogo",1,4,0,400,18000,NA,NA
"4547","Apartamento","Ipanema",3,0,1,180,8900,2300,NA
"4548","Conjunto Comercial/Sala","Centro",0,6,0,1743,87150,46921,7512
"4549","Apartamento","Tijuca",2,0,0,64,1600,446,47
"4550","Conjunto Comercial/Sala","Centro",0,0,0,623,31000,NA,NA
"4551","Apartamento","Leme",1,0,0,32,1500,483,55
"4552","Casa de Condomínio","Barra da Tijuca",5,4,5,700,16000,2150,17000
"4553","Casa de Vila","Bento Ribeiro",1,0,0,30,480,NA,NA
"4554","Loja Shopping/ Ct Comercial","Ipanema",0,0,0,30,2200,1700,193
"4555","Apartamento","Barra da Tijuca",1,2,0,70,2500,1500,NA
"4556","Apartamento","Recreio dos Bandeirantes",2,1,1,69,1900,680,156
"4557","Apartamento","Catete",2,0,0,70,2450,400,25
"4558","Apartamento","Engenho de Dentro",2,1,1,49,1300,697,NA
"4559","Apartamento","Recreio dos Bandeirantes",3,2,3,93,2500,470,NA
"4560","Apartamento","Botafogo",1,1,0,43,1800,1072,100
"4561","Apartamento","Tijuca",3,1,1,160,2800,800,NA
"4562","Apartamento","Barra da Tijuca",4,2,1,165,5000,2800,6500
"4563","Conjunto Comercial/Sala","Vila Isabel",0,0,0,30,700,834,84
"4564","Flat","Leblon",1,1,0,65,4500,1600,100
"4565","Casa de Condomínio","Ramos",3,1,1,200,1400,NA,NA
"4566","Apartamento","São Conrado",3,1,1,114,2400,1082,253
"4567","Apartamento","Barra da Tijuca",2,2,1,78,2000,3114,405
"4568","Apartamento","Copacabana",3,1,0,110,2500,1350,130
"4569","Apartamento","Barra da Tijuca",4,3,3,430,7000,3800,1250
"4570","Apartamento","Leme",3,1,0,88,2000,391,56
"4571","Prédio Inteiro","Botafogo",0,0,0,536,28000,NA,NA
"4572","Apartamento","Barra da Tijuca",2,1,1,77,2500,1400,106
"4573","Conjunto Comercial/Sala","Centro",0,0,0,75,1900,700,73
"4574","Conjunto Comercial/Sala","Centro",0,0,0,150,3500,3672,853
"4575","Conjunto Comercial/Sala","Centro",0,0,0,33,600,572,123
"4576","Apartamento","Recreio dos Bandeirantes",2,2,1,102,2300,415,NA
"4577","Conjunto Comercial/Sala","Centro",0,0,0,105,2000,942,293
"4578","Apartamento","Maracanã",2,1,1,80,1800,1120,134
"4579","Apartamento","Marechal Hermes",1,0,0,50,800,280,NA
"4580","Conjunto Comercial/Sala","Jacarepaguá",0,0,0,21,900,NA,NA
"4581","Galpão/Depósito/Armazém","Cachambi",0,5,0,2546,12000,NA,3000
"4582","Conjunto Comercial/Sala","Barra da Tijuca",0,1,0,32,1500,719,NA
"4583","Apartamento","Copacabana",1,0,0,26,1200,440,55
"4584","Conjunto Comercial/Sala","Centro",0,0,0,80,1900,2500,NA
"4585","Apartamento","Leblon",4,3,3,510,25000,4800,2400
"4586","Apartamento","Vila Isabel",1,1,0,60,1250,420,20
"4587","Apartamento","Campo Grande",2,1,0,60,750,215,NA
"4588","Apartamento","Laranjeiras",2,0,1,90,3300,1865,258
"4589","Galpão/Depósito/Armazém","Bonsucesso",0,0,0,1000,15000,NA,NA
"4590","Conjunto Comercial/Sala","Barra da Tijuca",0,1,0,28,600,542,213
"4591","Conjunto Comercial/Sala","Centro",0,0,0,541,27040,14980,NA
"4592","Conjunto Comercial/Sala","Centro",0,0,0,50,1600,900,86
"4593","Apartamento","Freguesia (Jacarepaguá)",3,2,1,132,1900,1115,137
"4594","Apartamento","Cachambi",2,0,0,51,950,300,16
"4595","Apartamento","Grajaú",2,1,0,70,1800,550,102
"4596","Galpão/Depósito/Armazém","Irajá",0,5,0,1100,15000000,NA,1000
"4597","Conjunto Comercial/Sala","São Conrado",0,2,0,66,3000,1989,440
"4598","Apartamento","Barra da Tijuca",4,4,4,333,14000,2800,1200
"4599","Apartamento","Laranjeiras",3,1,1,160,4000,1600,240
"4600","Apartamento","Barra da Tijuca",4,2,0,170,7000,2200,800
"4601","Apartamento","Recreio dos Bandeirantes",2,1,1,100,1650,700,150
"4602","Apartamento","Arpoador",3,3,2,380,30000,9600,2000
"4603","Apartamento","Copacabana",3,0,0,105,2600,1011,177
"4604","Casa de Vila","Anchieta",2,1,0,80,1000,NA,NA
"4605","Conjunto Comercial/Sala","Tijuca",0,1,0,41,650,610,164
"4606","Apartamento","Copacabana",3,1,0,100,3200,700,100
"4607","Conjunto Comercial/Sala","Glória",0,27,0,980,78000,29151,NA
"4608","Apartamento","Méier",3,0,0,100,1500,100,NA
"4609","Loja/Salão","Copacabana",0,0,0,60,10000,NA,6731
"4610","Apartamento","Ipanema",2,1,0,70,3600,644,128
"4611","Loja/Salão","Campo Grande",0,0,0,110,2500,NA,NA
"4612","Galpão/Depósito/Armazém","Tauá",0,1,0,240,5000,NA,1800
"4613","Apartamento","Vila Isabel",2,1,0,80,1600,550,NA
"4614","Apartamento","Vila Valqueire",2,1,0,72,800,150,12
"4615","Apartamento","Barra da Tijuca",3,2,1,90,3000,1000,NA
"4616","Conjunto Comercial/Sala","Centro",0,0,0,22,580,600,100
"4617","Apartamento","Humaitá",2,1,0,90,2900,815,96
"4618","Loja/Salão","Catete",0,0,0,25,300,700,130
"4619","Conjunto Comercial/Sala","Centro",0,0,0,304,5000,8273,8261
"4620","Casa de Vila","Freguesia (Jacarepaguá)",2,0,0,61,1100,30,13
"4621","Conjunto Comercial/Sala","Centro",0,0,0,200,5000,2000,800
"4622","Apartamento","Vila da Penha",1,0,0,45,1100,250,NA
"4623","Apartamento","Rocha",3,1,0,81,1400,655,16
"4624","Apartamento","Copacabana",2,2,1,100,3600,750,150
"4625","Apartamento","Barra da Tijuca",4,3,3,293,12000,4200,NA
"4626","Apartamento","Lagoa",4,3,1,200,7700,2000,908
"4627","Conjunto Comercial/Sala","Botafogo",0,4,0,420,40000,11200,2600
"4628","Apartamento","Barra da Tijuca",4,3,4,429,20000,4604,9505
"4629","Prédio Inteiro","Centro",0,0,0,6986,560000,NA,NA
"4630","Prédio Inteiro","Barra da Tijuca",0,0,0,600,10000,NA,13000
"4631","Casa de Condomínio","Barra da Tijuca",4,8,4,700,18000,1700,2700
"4632","Apartamento","Botafogo",2,1,1,78,3000,940,181
"4633","Apartamento","Ipanema",3,2,2,170,12000,1550,616
"4634","Apartamento","Vila Isabel",2,2,0,102,1600,992,129
"4635","Flat","Laranjeiras",1,1,0,50,2800,800,90
"4636","Galpão/Depósito/Armazém","São Cristóvão",0,0,0,1050,16500,NA,2000
"4637","Loja/Salão","Barra da Tijuca",0,1,0,36,1100,1200,278
"4638","Apartamento","Flamengo",3,1,0,100,3000,900,200
"4639","Apartamento","Ipanema",3,1,0,120,3500,1500,206
"4640","Conjunto Comercial/Sala","Barra da Tijuca",0,0,0,35,1000,1242,244
"4641","Apartamento","Recreio dos Bandeirantes",3,2,1,74,1500,1071,163
"4642","Galpão/Depósito/Armazém","Campo Grande",0,0,0,400,8000,NA,NA
"4643","Apartamento","Santa Teresa",3,0,0,149,2000,890,52
"4644","Apartamento","Barra da Tijuca",3,1,1,73,1700,616,29
"4645","Casa","Barra da Tijuca",6,4,4,480,20000,1100,NA
"4646","Apartamento","Recreio dos Bandeirantes",2,2,1,103,1950,826,44
"4647","Conjunto Comercial/Sala","Barra da Tijuca",0,0,0,30,1800,650,300
"4648","Conjunto Comercial/Sala","Riachuelo",0,0,0,75,2800,1417,NA
"4649","Apartamento","Leme",2,0,0,84,3000,720,130
"4650","Conjunto Comercial/Sala","Barra da Tijuca",0,2,0,54,3000,1248,NA
"4651","Casa","Laranjeiras",4,0,2,85,8900,NA,NA
"4652","Conjunto Comercial/Sala","Centro",0,0,0,677,24000,17272,1177
"4653","Apartamento","Cachambi",2,1,0,60,950,652,NA
"4654","Apartamento","Humaitá",3,1,1,80,4500,1621,240
"4655","Apartamento","Recreio dos Bandeirantes",3,2,1,185,3100,1230,395
"4656","Apartamento","Copacabana",3,1,0,90,3200,700,180
"4657","Apartamento","Campo Grande",2,0,0,66,950,75,NA
"4658","Apartamento","Leblon",3,1,0,120,6500,1600,2611
"4659","Apartamento","Barra da Tijuca",3,3,3,210,5200,2600,NA
"4660","Apartamento","Leblon",4,3,1,160,8000,1500,564
"4661","Apartamento","Copacabana",3,1,0,92,2500,1100,110
"4662","Apartamento","Barra da Tijuca",3,2,1,100,3000,1200,NA
"4663","Apartamento","Méier",2,1,0,66,1250,440,36
"4664","Apartamento","Recreio dos Bandeirantes",3,2,1,121,2500,1123,NA
"4665","Apartamento","Taquara",2,1,1,68,1250,520,81
"4666","Apartamento","Bonsucesso",1,0,0,38,850,170,NA
"4667","Apartamento","Ipanema",1,0,0,125,6000,1800,506
"4668","Conjunto Comercial/Sala","Barra da Tijuca",0,1,0,32,1400,1300,250
"4669","Apartamento","Botafogo",2,1,2,136,4480,1200,299
"4670","Conjunto Comercial/Sala","Recreio dos Bandeirantes",0,1,0,28,1100,330,120
"4671","Conjunto Comercial/Sala","Flamengo",0,7,0,670,53600,13400,NA
"4672","Conjunto Comercial/Sala","Centro",0,0,0,30,1200,395,79
"4673","Apartamento","Copacabana",3,0,0,180,14000,2500,NA
"4674","Flat","Copacabana",1,1,1,38,2700,1100,90
"4675","Apartamento","Barra da Tijuca",4,3,4,294,9999,3121,640
"4676","Conjunto Comercial/Sala","Santo Cristo",0,0,0,118,3540,1180,NA
"4677","Loja/Salão","São Cristóvão",0,0,0,30,1500,NA,96
"4678","Conjunto Comercial/Sala","Centro",0,0,0,27,300,438,112
"4679","Apartamento","Ipanema",4,2,1,270,21000,2646,824
"4680","Apartamento","Freguesia (Jacarepaguá)",2,1,1,90,1800,805,155
"4681","Apartamento","Gávea",3,2,1,120,5250,1500,350
"4682","Flat","Copacabana",1,0,0,55,2000,1100,140
"4683","Apartamento","Barra da Tijuca",4,6,4,550,15009,4125,NA
"4684","Apartamento","Leblon",3,3,2,240,20000,3500,690
"4685","Apartamento","Barra da Tijuca",4,3,4,400,14000,6035,NA
"4686","Apartamento","Barra da Tijuca",4,3,4,165,4400,1600,420
"4687","Apartamento","Recreio dos Bandeirantes",3,4,3,360,12000,1700,NA
"4688","Apartamento","Tijuca",2,1,1,95,1700,856,111
"4689","Apartamento","Camorim",2,1,1,67,1700,800,90
"4690","Conjunto Comercial/Sala","Centro",0,0,0,84,1600,1700,165
"4691","Conjunto Comercial/Sala","Copacabana",0,0,0,25,1000,430,NA
"4692","Loja Shopping/ Ct Comercial","Ipanema",0,0,0,35,3500,3180,279
"4693","Apartamento","Recreio dos Bandeirantes",2,1,1,78,2000,700,NA
"4694","Quitinete","Copacabana",0,0,0,26,1850,500,NA
"4695","Casa","Campo Grande",3,2,2,134,1700,NA,NA
"4696","Quitinete","Centro",0,0,0,33,800,277,103
"4697","Apartamento","Botafogo",2,0,0,70,3400,650,NA
"4698","Apartamento","Recreio dos Bandeirantes",4,3,0,208,3000,800,440
"4699","Conjunto Comercial/Sala","Barra da Tijuca",0,2,0,130,13000,3413,8212
"4700","Conjunto Comercial/Sala","Centro",0,0,0,320,28000,4000,NA
"4701","Apartamento","Copacabana",2,1,0,67,2400,1095,NA
"4702","Apartamento","Cachambi",1,1,0,48,750,250,NA
"4703","Flat","Leblon",1,1,1,59,4000,1400,180
"4704","Apartamento","São Cristóvão",2,1,1,56,1500,580,NA
"4705","Quitinete","Centro",0,0,0,32,600,508,20
"4706","Apartamento","Ipanema",4,2,1,191,8700,3700,150
"4707","Apartamento","Freguesia (Jacarepaguá)",2,1,0,63,1300,545,NA
"4708","Apartamento","Recreio dos Bandeirantes",3,3,1,140,2800,760,3500
"4709","Loja/Salão","Barra da Tijuca",0,1,0,90,5500,1900,4895
"4710","Apartamento","Madureira",3,1,1,60,1450,372,NA
"4711","Conjunto Comercial/Sala","Centro",0,0,0,370,11100,9244,2291
"4712","Apartamento","Flamengo",3,1,1,108,4000,1000,219
"4713","Flat","Ipanema",1,1,0,60,3500,1500,244
"4714","Apartamento","Ipanema",3,1,1,130,6000,3200,280
"4715","Apartamento","Lagoa",4,3,2,240,9000,4811,1156
"4716","Quitinete","Centro",0,0,0,30,1100,420,25
"4717","Loja/Salão","Botafogo",0,0,0,585,60000,80,NA
"4718","Conjunto Comercial/Sala","Centro",0,0,0,21,1000,339,83
"4719","Apartamento","Copacabana",2,0,1,114,2400,1410,140
"4720","Apartamento","Laranjeiras",2,1,1,76,3300,1123,229
"4721","Casa de Condomínio","Barra da Tijuca",4,8,1,400,7000,800,780
"4722","Pousada/Chalé","Barra da Tijuca",23,0,23,862,1480,295,NA
"4723","Apartamento","Copacabana",3,1,1,92,2500,1100,1512
"4724","Conjunto Comercial/Sala","Recreio dos Bandeirantes",0,0,1,30,1300,600,NA
"4725","Apartamento","Ipanema",3,1,1,140,4500,1200,250
"4726","Quitinete","Leblon",1,0,0,30,1800,465,62
"4727","Flat","Barra da Tijuca",1,1,1,52,1200,2020,587
"4728","Casa Comercial","Botafogo",0,0,0,390,12000,NA,291
"4729","Apartamento","Barra da Tijuca",4,2,2,245,6900,3400,580
"4730","Apartamento","Recreio dos Bandeirantes",2,1,1,70,2000,500,NA
"4731","Apartamento","Recreio dos Bandeirantes",3,2,1,105,1800,650,NA
"4732","Apartamento","Barra da Tijuca",2,1,1,86,2900,1080,160
"4733","Apartamento","Campo Grande",3,1,0,56,900,780,NA
"4734","Apartamento","Flamengo",2,0,0,60,1900,1089,118
"4735","Apartamento","Copacabana",1,0,0,35,2200,317,NA
"4736","Apartamento","Recreio dos Bandeirantes",2,1,1,99,2300,800,1913
"4737","Apartamento","Campo Grande",2,0,0,80,1100,NA,NA
"4738","Apartamento","Humaitá",2,0,0,60,2500,650,99
"4739","Conjunto Comercial/Sala","Centro",0,0,0,61,1500,1087,250
"4740","Apartamento","Copacabana",1,0,0,35,2000,560,67
"4741","Casa Comercial","Botafogo",11,4,3,400,8000,NA,2190
"4742","Conjunto Comercial/Sala","Itanhangá",0,1,0,705,8000,NA,8628
"4743","Quitinete","Copacabana",1,0,0,30,1600,400,NA
"4744","Apartamento","Botafogo",1,1,0,45,1500,1098,192
"4745","Loja/Salão","Centro",0,0,0,280,8000,NA,NA
"4746","Conjunto Comercial/Sala","Barra da Tijuca",0,3,0,77,2800,1950,NA
"4747","Loja/Salão","Água Santa",0,0,0,55,900,NA,112
"4748","Apartamento","Leblon",2,2,1,150,10000,2270,408
"4749","Apartamento","Copacabana",1,0,0,47,1900,1400,185
"4750","Quitinete","Copacabana",1,0,0,32,2300,NA,NA
"4751","Conjunto Comercial/Sala","Centro",0,0,0,292,4500,7000,1700
"4752","Flat","Ipanema",2,1,1,100,13000,4100,487
"4753","Apartamento","Leblon",1,1,0,53,3800,1520,NA
"4754","Apartamento","Freguesia (Jacarepaguá)",3,2,1,90,1900,1075,99
"4755","Apartamento","Leblon",2,1,0,60,3900,1221,203
"4756","Quitinete","Tijuca",1,0,0,28,1200,300,20
"4757","Conjunto Comercial/Sala","Recreio dos Bandeirantes",0,0,0,24,1300,400,NA
"4758","Apartamento","Ipanema",2,1,1,86,12000,NA,NA
"4759","Conjunto Comercial/Sala","Barra da Tijuca",0,1,0,22,750,600,NA
"4760","Apartamento","Copacabana",3,1,1,130,4000,1500,348
"4761","Casa de Condomínio","Barra da Tijuca",5,3,3,1750,15000,2900,1798
"4762","Conjunto Comercial/Sala","Centro",0,0,0,33,1100,350,85
"4763","Casa","Vargem Grande",2,1,1,78,1500,NA,NA
"4764","Casa Comercial","São Cristóvão",0,0,0,108,3000,NA,NA
"4765","Apartamento","Jardim Guanabara",2,1,0,70,1700,450,30
"4766","Apartamento","Recreio dos Bandeirantes",1,1,1,55,1800,534,85
"4767","Conjunto Comercial/Sala","Barra da Tijuca",0,2,0,90,4500,NA,NA
"4768","Casa","Barra da Tijuca",5,0,5,800,30000,2333,2899
"4769","Apartamento","Barra da Tijuca",2,1,0,58,1700,120,700
"4770","Apartamento","Copacabana",3,0,0,105,3800,1176,170
"4771","Apartamento","Leme",2,0,0,75,2800,918,NA
"4772","Conjunto Comercial/Sala","Barra da Tijuca",0,2,0,85,2200,2238,606
"4773","Loja/Salão","Barra da Tijuca",0,0,0,32,1000,1753,6706
"4774","Apartamento","Copacabana",1,0,0,29,1450,800,NA
"4775","Apartamento","Ipanema",3,0,0,90,2500,1310,223
"4776","Apartamento","Flamengo",3,1,1,211,4700,1850,479
"4777","Apartamento","Tijuca",1,0,1,48,1200,620,47
"4778","Apartamento","Flamengo",2,0,0,70,1500,1027,NA
"4779","Apartamento","Copacabana",1,0,0,55,2100,628,54
"4780","Loja/Salão","São Cristóvão",0,10,0,1200,18000,NA,2200
"4781","Loja/Salão","Ipanema",0,0,0,46,4500,1739,783
"4782","Apartamento","Barra da Tijuca",2,1,1,59,1700,650,52
"4783","Apartamento","Copacabana",4,2,2,389,11800,4133,11536
"4784","Flat","Copacabana",1,1,0,60,1600,1500,170
"4785","Apartamento","Leblon",2,2,1,88,4500,1900,390
"4786","Apartamento","Tijuca",2,0,0,79,1200,917,91
"4787","Apartamento","Copacabana",2,0,0,60,2500,520,NA
"4788","Apartamento","Botafogo",1,1,0,100,2500,935,155
"4789","Loja/Salão","Recreio dos Bandeirantes",0,1,0,75,2800,750,NA
"4790","Conjunto Comercial/Sala","Barra da Tijuca",0,5,0,98,10000,3100,7189
"4791","Apartamento","Andaraí",2,0,0,64,1600,270,47
"4792","Apartamento","Flamengo",3,0,1,107,2800,1100,150
"4793","Apartamento","Taquara",3,1,1,50,1400,400,17
"4794","Apartamento","Copacabana",2,1,0,73,2900,1150,NA
"4795","Apartamento","Leblon",2,2,1,113,3500,1457,457
"4796","Loja/Salão","Ipanema",0,0,0,18,1500,740,105
"4797","Apartamento","Barra da Tijuca",4,3,1,180,7500,2400,700
"4798","Apartamento","Méier",2,1,0,65,1100,765,NA
"4799","Apartamento","Pechincha",2,1,0,58,750,475,17
"4800","Casa","Vila da Penha",3,0,3,180,4500,NA,NA
"4801","Conjunto Comercial/Sala","Del Castilho",0,1,0,36,1000,780,NA
"4802","Casa de Condomínio","Icaraí",3,2,0,88,2100,430,320
"4803","Apartamento","Campo Grande",3,1,0,65,900,130,NA
"4804","Apartamento","Botafogo",3,2,1,115,6800,1430,384
"4805","Galpão/Depósito/Armazém","Engenho de Dentro",0,4,0,400,6500,NA,2662
"4806","Apartamento","Recreio dos Bandeirantes",2,1,1,72,1300,770,137
"4807","Apartamento","Recreio dos Bandeirantes",2,1,1,65,1700,733,137
"4808","Apartamento","Barra da Tijuca",3,2,1,145,4500,986,473
"4809","Apartamento","Catumbi",2,0,0,75,1200,460,NA
"4810","Conjunto Comercial/Sala","Barra da Tijuca",0,1,0,53,3000,1040,424
"4811","Apartamento","Leblon",3,1,1,180,9000,1554,560
"4812","Apartamento","Leblon",1,0,0,30,2100,620,79
"4813","Apartamento","Piedade",3,0,0,75,950,87,14
"4814","Apartamento","Barra da Tijuca",4,3,2,330,7500,1700,NA
"4815","Apartamento","Vila Isabel",1,1,0,54,1400,743,66
"4816","Conjunto Comercial/Sala","Centro",0,0,0,33,600,608,115
"4817","Apartamento","Engenho de Dentro",2,1,0,65,1200,618,NA
"4818","Conjunto Comercial/Sala","Centro",0,0,0,65,1800,2000,245
"4819","Flat","Ipanema",2,2,2,94,13000,3500,NA
"4820","Apartamento","Ipanema",3,0,0,90,2800,1400,180
"4821","Apartamento","Barra da Tijuca",2,1,1,84,2500,2085,265
"4822","Apartamento","Rocha Miranda",1,0,0,35,550,NA,NA
"4823","Conjunto Comercial/Sala","Cidade Nova",0,7,0,1101,77070,24498,2213
"4824","Apartamento","Copacabana",3,1,0,90,3000,1102,251
"4825","Apartamento","Méier",2,1,0,60,1200,700,30
"4826","Loja/Salão","Campo Grande",0,0,0,40,2000,900,NA
"4827","Conjunto Comercial/Sala","Barra da Tijuca",0,4,0,150,7600,5861,10972
"4828","Apartamento","Humaitá",2,1,0,62,2200,1060,132
"4829","Conjunto Comercial/Sala","Santo Cristo",0,5,0,1383,62249,NA,NA
"4830","Apartamento","Ilha do Governador",2,1,0,60,1000,396,21
"4831","Apartamento","Copacabana",2,0,0,55,2300,1232,NA
"4832","Apartamento","Leblon",3,2,1,170,8000,2790,640
"4833","Apartamento","Botafogo",2,1,0,87,3000,780,NA
"4834","Apartamento","Vargem Pequena",3,1,0,53,1200,340,NA
"4835","Apartamento","Vila da Penha",2,0,0,55,1550,90,NA
"4836","Apartamento","Tijuca",1,0,0,52,1500,550,49
"4837","Apartamento","Vila Valqueire",2,1,0,80,1200,300,NA
"4838","Terreno Padrão","Penha Circular",0,0,0,9080,22000,NA,17018
"4839","Apartamento","Tijuca",3,0,1,126,2600,846,224
"4840","Apartamento","Lagoa",3,1,1,160,5000,2483,NA
"4841","Loft","São Conrado",2,2,0,310,6000,750,500
"4842","Conjunto Comercial/Sala","Copacabana",0,0,0,25,1500,545,161
"4843","Galpão/Depósito/Armazém","Curicica",0,0,0,400,25000,NA,NA
"4844","Apartamento","Barra da Tijuca",3,2,1,105,2800,1630,262
"4845","Conjunto Comercial/Sala","Ipanema",0,1,0,56,5000,1850,576
"4846","Apartamento","Flamengo",2,1,0,65,2699,660,98
"4847","Apartamento","Leme",4,1,0,320,9500,2000,580
"4848","Apartamento","Guadalupe",2,0,0,40,850,NA,NA
"4849","Apartamento","Barra da Tijuca",4,2,2,280,8000,2990,560
"4850","Galpão/Depósito/Armazém","Parada de Lucas",0,0,0,990,20000,NA,3642
"4851","Casa","Piedade",1,0,0,39,600,NA,16
"4852","Apartamento","Campo Grande",2,1,0,60,900,600,NA
"4853","Conjunto Comercial/Sala","Barra da Tijuca",0,36,0,1200,84500,44000,NA
"4854","Apartamento","Ipanema",2,1,1,243,12000,2300,NA
"4855","Apartamento","Freguesia (Jacarepaguá)",2,0,0,60,1200,600,50
"4856","Apartamento","Barra da Tijuca",3,4,3,366,14000,3598,1013
"4857","Apartamento","Leme",2,0,0,87,2600,715,153
"4858","Apartamento","Abolição",2,2,0,81,850,350,49
"4859","Flat","Botafogo",1,1,0,50,2400,775,150
"4860","Conjunto Comercial/Sala","Barra da Tijuca",0,1,0,30,1000,982,NA
"4861","Conjunto Comercial/Sala","Curicica",0,1,0,18,360,750,55
"4862","Apartamento","Arpoador",3,1,1,180,16887,2500,613
"4863","Apartamento","Barra da Tijuca",2,1,1,68,1500,1400,NA
"4864","Apartamento","Leblon",4,3,1,200,15000,1280,6798
"4865","Conjunto Comercial/Sala","Centro",0,0,0,315,15750,5613,1561
"4866","Apartamento","Ipanema",2,1,1,95,9500,3700,540
"4867","Apartamento","Maracanã",1,0,0,54,1000,450,20
"4868","Apartamento","Vila Valqueire",3,1,1,146,2200,630,167
"4869","Casa de Condomínio","Barra da Tijuca",4,3,1,400,8500,880,780
"4870","Conjunto Comercial/Sala","Barra da Tijuca",0,1,0,30,1200,350,NA
"4871","Loja/Salão","Copacabana",0,0,0,14,1100,700,NA
"4872","Apartamento","Barra da Tijuca",3,2,1,106,3200,1765,NA
"4873","Apartamento","Gávea",3,1,1,142,6000,960,3500
"4874","Conjunto Comercial/Sala","Ipanema",2,0,0,45,3290,2200,245
"4875","Apartamento","Barra da Tijuca",4,3,3,160,8450,2300,400
"4876","Apartamento","Recreio dos Bandeirantes",3,3,2,180,3900,1050,500
"4877","Casa de Condomínio","Recreio dos Bandeirantes",4,2,4,250,8000,1800,3600
"4878","Apartamento","Lapa",1,0,0,46,1597,600,65
